outOfBoundRotationNotAllowed,Tetrimino,11
outOfBoundRotationNotAllowed,Tetrimino,12
outOfBoundRotationNotAllowed,Tetrimino,14
outOfBoundRotationNotAllowed,Tetrimino,15
outOfBoundRotationNotAllowed,Tetrimino,16
outOfBoundRotationNotAllowed,Tetrimino,31
outOfBoundRotationNotAllowed,Tetrimino,32
outOfBoundRotationNotAllowed,Tetrimino,34
outOfBoundRotationNotAllowed,Tetrimino,35
outOfBoundRotationNotAllowed,Tetrimino,37
outOfBoundRotationNotAllowed,Tetrimino,38
outOfBoundRotationNotAllowed,Tetrimino,39
outOfBoundRotationNotAllowed,Tetrimino,40
outOfBoundRotationNotAllowed,Tetrimino,63
outOfBoundRotationNotAllowed,Tetrimino,75
outOfBoundRotationNotAllowed,Tetrimino,77
outOfBoundRotationNotAllowed,Tetrimino,78
outOfBoundRotationNotAllowed,Tetrimino,80
